Surrogate Keys,date,prname,province,totalcases,numdeaths,recovery,partial,fully,booster
43,2021-01-23,Manitoba,MB,28476,797,24307,30764,3498,0
44,2021-01-23,Ontario,ON,256636,6076,222287,276146,28954,0
45,2021-01-23,Quebec,QC,246131,9046,225245,220997,685,0
46,2021-01-23,Newfoundland and Labrador,NL,398,4,386,8549,1495,0
47,2021-01-23,New Brunswick,NB,1104,13,762,10436,2567,0
48,2021-01-23,Nova Scotia,NS,1567,65,1485,10575,2705,0
49,2021-01-23,Prince Edward Island,PE,110,0,103,6525,1799,0
50,2021-01-23,Yukon,YT,70,1,69,3730,0,0
51,2021-01-23,Northwest Territories,NT,30,0,24,1893,0,0
52,2021-01-23,Nunavut,NU,275,1,264,3822,0,0
53,2021-01-30,British Columbia,BC,67187,1189,59551,129241,4262,0
54,2021-01-30,Alberta,AB,124049,1744,114586,105752,15648,0
55,2021-01-30,Saskatchewan,SK,23626,300,20803,35239,4637,0
56,2021-01-30,Manitoba,MB,29446,825,25095,41811,7834,0
57,2021-01-30,Ontario,ON,269410,6449,240494,336828,67787,0
58,2021-01-30,Quebec,QC,254885,9313,237088,251615,1515,0
59,2021-01-30,Newfoundland and Labrador,NL,408,4,388,10080,1737,0
60,2021-01-30,New Brunswick,NB,1230,18,928,14257,2839,0
61,2021-01-30,Nova Scotia,NS,1578,65,1504,14589,2714,0
62,2021-01-30,Prince Edward Island,PE,112,0,105,7510,2232,0
63,2021-01-30,Yukon,YT,70,1,69,6496,0,0
64,2021-01-30,Northwest Territories,NT,31,0,26,9471,0,0
65,2021-01-30,Nunavut,NU,289,1,263,5316,0,0
66,2021-02-06,British Columbia,BC,70144,1246,62567,149564,10366,0
67,2021-02-06,Alberta,AB,126646,1802,118445,116716,25540,0
68,2021-02-06,Saskatchewan,SK,25209,336,22460,41254,8157,0
69,2021-02-06,Manitoba,MB,30158,842,26007,47986,13003,0
70,2021-02-06,Ontario,ON,279192,6711,254966,372666,96573,0
71,2021-02-06,Quebec,QC,262303,9526,246695,269738,3073,0
72,2021-02-06,Newfoundland and Labrador,NL,415,4,391,12596,3324,0
73,2021-02-06,New Brunswick,NB,1337,20,1095,17277,4460,0
74,2021-02-06,Nova Scotia,NS,1585,65,1512,17295,4681,0
75,2021-02-06,Prince Edward Island,PE,114,0,110,8337,3037,0
76,2021-02-06,Yukon,YT,70,1,69,10519,0,0
77,2021-02-06,Northwest Territories,NT,32,0,35,12366,125,0
78,2021-02-06,Nunavut,NU,297,1,282,5649,0,0
79,2021-02-13,British Columbia,BC,73202,1298,67008,162982,17562,0
80,2021-02-13,Alberta,AB,128722,1854,121494,144114,49166,0
81,2021-02-13,Saskatchewan,SK,26389,354,24085,48566,12410,0
82,2021-02-13,Manitoba,MB,30687,866,28193,56282,20152,0
83,2021-02-13,Ontario,ON,287093,6881,265893,456947,164307,0
84,2021-02-13,Quebec,QC,268785,9685,255146,312839,6244,3
85,2021-02-13,Newfoundland and Labrador,NL,686,4,394,14687,4865,0
86,2021-02-13,New Brunswick,NB,1398,22,1215,18643,5347,0
87,2021-02-13,Nova Scotia,NS,1592,65,1517,22343,7498,0
88,2021-02-13,Prince Edward Island,PE,114,0,110,9139,3787,0
89,2021-02-13,Yukon,YT,71,1,69,11514,909,0
90,2021-02-13,Northwest Territories,NT,36,0,37,13132,299,0
91,2021-02-13,Nunavut,NU,313,1,297,8339,2134,0
92,2021-02-20,British Columbia,BC,76339,1327,69970,192942,36923,0
93,2021-02-20,Alberta,AB,130974,1880,124114,165527,63882,0
94,2021-02-20,Saskatchewan,SK,27438,368,25468,57824,17745,0
95,2021-02-20,Manitoba,MB,31329,882,29240,62812,25874,0
96,2021-02-20,Ontario,ON,294555,7032,274714,540129,229151,0
97,2021-02-20,Quebec,QC,274137,9786,262506,356352,7892,8
98,2021-02-20,Newfoundland and Labrador,NL,901,4,460,16458,6112,0
99,2021-02-20,New Brunswick,NB,1420,24,1309,21182,7505,0
100,2021-02-20,Nova Scotia,NS,1605,65,1525,25032,9782,0
101,2021-02-20,Prince Edward Island,PE,115,0,113,10691,4979,0
102,2021-02-20,Yukon,YT,72,1,69,11850,1223,0
103,2021-02-20,Northwest Territories,NT,41,0,39,14157,579,0
104,2021-02-20,Nunavut,NU,339,1,301,9049,2134,0
105,2021-02-27,British Columbia,BC,79909,1355,73188,252373,73808,0
106,2021-02-27,Alberta,AB,133417,1905,126774,218696,85442,0
107,2021-02-27,Saskatchewan,SK,28506,385,26573,75501,24591,0
108,2021-02-27,Manitoba,MB,31809,893,29708,77119,29980,0
109,2021-02-27,Ontario,ON,302237,7129,282315,668104,260972,0
110,2021-02-27,Quebec,QC,279519,9858,268645,448160,9454,11
111,2021-02-27,Newfoundland and Labrador,NL,980,5,701,20285,7466,0
112,2021-02-27,New Brunswick,NB,1430,26,1362,26317,11036,0
113,2021-02-27,Nova Scotia,NS,1633,65,1534,32019,12105,0
114,2021-02-27,Prince Edward Island,PE,127,0,114,12176,5165,0
115,2021-02-27,Yukon,YT,72,1,71,15174,4309,0
116,2021-02-27,Northwest Territories,NT,42,0,43,16454,1934,0
117,2021-02-27,Nunavut,NU,356,1,328,11383,4107,0
118,2021-03-06,British Columbia,BC,83652,1383,76752,311208,86865,0
119,2021-03-06,Alberta,AB,135748,1924,128974,282674,90824,0
120,2021-03-06,Saskatchewan,SK,29593,396,27584,90456,28006,0
121,2021-03-06,Manitoba,MB,32169,904,30151,93798,33551,0
122,2021-03-06,Ontario,ON,310175,7216,289735,860412,270625,0
123,2021-03-06,Quebec,QC,284471,9925,274245,567238,11072,12
124,2021-03-06,Newfoundland and Labrador,NL,1005,6,908,24757,8427,0
125,2021-03-06,New Brunswick,NB,1453,28,1389,33741,12142,0
126,2021-03-06,Nova Scotia,NS,1654,65,1563,38676,14395,0
127,2021-03-06,Prince Edward Island,PE,140,0,115,13281,5273,0
128,2021-03-06,Yukon,YT,72,1,71,21097,7826,0
129,2021-03-06,Northwest Territories,NT,42,0,46,19775,4558,0
130,2021-03-06,Nunavut,NU,372,1,354,13911,5144,0
131,2021-03-13,British Columbia,BC,87422,1401,80325,380743,87024,0
132,2021-03-13,Alberta,AB,138286,1950,131502,346135,91520,0
133,2021-03-13,Saskatchewan,SK,30522,405,28648,100195,29029,0
134,2021-03-13,Manitoba,MB,32699,916,30874,108919,35198,0
135,2021-03-13,Ontario,ON,319674,7304,297403,1116496,284686,0
136,2021-03-13,Quebec,QC,289484,9983,279230,724661,14910,16
137,2021-03-13,Newfoundland and Labrador,NL,1012,6,949,33621,9170,0
138,2021-03-13,New Brunswick,NB,1465,30,1401,38483,12152,0
139,2021-03-13,Nova Scotia,NS,1667,65,1585,46891,15655,0
140,2021-03-13,Prince Edward Island,PE,144,0,127,15648,5603,0
141,2021-03-13,Yukon,YT,72,1,71,27738,9805,0
142,2021-03-13,Northwest Territories,NT,42,0,46,28208,11151,0
143,2021-03-13,Nunavut,NU,382,1,367,15889,5750,0
144,2021-03-20,British Columbia,BC,91342,1421,84078,490022,87139,0
145,2021-03-20,Alberta,AB,141763,1965,133800,452690,92935,0
146,2021-03-20,Saskatchewan,SK,31459,417,29608,133828,31162,0
147,2021-03-20,Manitoba,MB,33263,920,31188,139050,44789,1
148,2021-03-20,Ontario,ON,330714,7386,306050,1480882,297134,0
149,2021-03-20,Quebec,QC,294906,10035,284203,965087,16723,18
150,2021-03-20,Newfoundland and Labrador,NL,1014,6,999,46053,9411,0
151,2021-03-20,New Brunswick,NB,1489,30,1409,57722,12200,0
152,2021-03-20,Nova Scotia,NS,1684,66,1599,58036,20050,0
153,2021-03-20,Prince Edward Island,PE,149,0,140,16779,5614,0
154,2021-03-20,Yukon,YT,72,1,71,32350,10598,0
155,2021-03-20,Northwest Territories,NT,42,0,46,32074,12389,0
156,2021-03-20,Nunavut,NU,390,3,389,17997,6413,0
157,2021-03-27,British Columbia,BC,96613,1452,87866,637856,87233,0
158,2021-03-27,Alberta,AB,146161,1987,136350,577223,95452,0
159,2021-03-27,Saskatchewan,SK,32783,430,30536,167509,36494,0
160,2021-03-27,Manitoba,MB,33867,933,31744,179856,56829,2
161,2021-03-27,Ontario,ON,345114,7494,315865,1916332,308301,0
162,2021-03-27,Quebec,QC,301135,10082,289132,1233657,18448,20
163,2021-03-27,Newfoundland and Labrador,NL,1015,6,1004,55231,9527,0
164,2021-03-27,New Brunswick,NB,1571,30,1430,81064,12216,0
165,2021-03-27,Nova Scotia,NS,1705,66,1618,83148,23662,0
166,2021-03-27,Prince Edward Island,PE,156,0,144,20258,6139,0
167,2021-03-27,Yukon,YT,73,1,71,34003,10870,0
168,2021-03-27,Northwest Territories,NT,42,0,47,35397,13283,0
169,2021-03-27,Nunavut,NU,395,4,391,19669,6785,0
