pruid,prname,prnameFR,date,reporting_week,reporting_year,update,totalcases,numtotal_last7,ratecases_total,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
48,Alberta,Alberta,2023-12-02,48,2023,1,645460,757,14207.45,6180,20,136.03,16.66,0.44,1564,32,34.43,0.7,108.14,2.38,2.86,0.06
47,Saskatchewan,Saskatchewan,2023-12-02,48,2023,1,160709,308,13450.67,2031,2,169.99,25.78,0.17,703,6,58.84,0.5,44,3.68,0.29,0.02
46,Manitoba,Manitoba,2023-12-02,48,2023,1,159520,208,11319.71,2534,4,179.82,14.76,0.28,482,6,34.2,0.43,29.71,2.11,0.57,0.04
35,Ontario,Ontario,2023-12-02,48,2023,1,1675591,4221,11089.71,17954,58,118.83,27.94,0.38,8743,113,57.86,0.75,603,3.99,8.29,0.05
24,Quebec,Québec,2023-12-02,48,2023,1,1413120,5074,16250.87,19106,70,219.72,58.35,0.8,9545,136,109.77,1.56,724.86,8.34,10,0.11
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-12-02,48,2023,1,57117,133,10859.32,379,2,72.06,25.29,0.38,269,5,51.14,0.95,19,3.61,0.29,0.05
13,New Brunswick,Nouveau-Brunswick,2023-12-02,48,2023,1,93213,138,11478.57,970,2,119.45,16.99,0.25,291,6,35.83,0.74,19.71,2.43,0.29,0.04
12,Nova Scotia,Nouvelle-Écosse,2023-12-02,48,2023,1,149614,337,14671.99,947,16,92.87,33.05,1.57,714,24,70.02,2.35,48.14,4.72,2.29,0.22
11,Prince Edward Island,Île-du-Prince-Édouard,2023-12-02,48,2023,1,58011,,33986.57,113,,66.2,,,150,1,87.88,0.59,,,,
60,Yukon,Yukon,2023-12-02,48,2023,0,4989,,11393.27,32,,73.08,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-12-02,48,2023,0,11511,,25240.65,22,,48.24,,,,,,,,,,
62,Nunavut,Nunavut,2023-12-02,48,2023,0,3531,,8712.93,7,,17.27,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-12-02,48,2023,,13,0,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,2023-12-02,48,2023,,4844733,11533,12444.76,56724,214,145.71,29.63,0.55,23200,393,59.59,1.01,1647.57,4.23,30.57,0.08
59,British Columbia,Colombie-Britannique,2023-12-09,49,2023,1,412753,419,7759.5,6449,0,121.24,7.88,0,776,40,14.59,0.75,59.86,1.13,0,0
48,Alberta,Alberta,2023-12-09,49,2023,1,646229,769,14224.37,6204,24,136.56,16.93,0.53,1526,44,33.59,0.97,109.86,2.42,3.43,0.08
47,Saskatchewan,Saskatchewan,2023-12-09,49,2023,1,161016,307,13476.36,2033,2,170.15,25.69,0.17,615,4,51.47,0.33,43.86,3.67,0.29,0.02
46,Manitoba,Manitoba,2023-12-09,49,2023,1,159728,208,11334.47,2571,37,182.44,14.76,2.63,416,41,29.52,2.91,29.71,2.11,5.29,0.38
35,Ontario,Ontario,2023-12-09,49,2023,1,1679670,4079,11116.71,18037,83,119.38,27,0.55,8300,141,54.93,0.93,582.71,3.86,11.86,0.08
24,Quebec,Québec,2023-12-09,49,2023,1,1418541,5421,16313.21,19178,72,220.55,62.34,0.83,10495,142,120.69,1.63,774.43,8.91,10.29,0.12
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-12-09,49,2023,1,57236,119,10881.95,381,2,72.44,22.62,0.38,252,4,47.91,0.76,17,3.23,0.29,0.05
13,New Brunswick,Nouveau-Brunswick,2023-12-09,49,2023,1,93381,168,11499.26,972,2,119.7,20.69,0.25,306,4,37.68,0.49,24,2.96,0.29,0.04
12,Nova Scotia,Nouvelle-Écosse,2023-12-09,49,2023,1,149931,317,14703.08,950,3,93.16,31.09,0.29,654,19,64.13,1.86,45.29,4.44,0.43,0.04
11,Prince Edward Island,Île-du-Prince-Édouard,2023-12-09,49,2023,1,58070,59,34021.14,114,1,66.79,34.57,0.59,,,,,8.43,4.94,0.14,0.08
60,Yukon,Yukon,2023-12-09,49,2023,0,4989,,11393.27,32,,73.08,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-12-09,49,2023,0,11511,,25240.65,22,,48.24,,,,,,,,,,
62,Nunavut,Nunavut,2023-12-09,49,2023,0,3531,,8712.93,7,,17.27,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-12-09,49,2023,,13,0,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,2023-12-09,49,2023,,4856599,11866,12475.24,56950,226,146.29,30.48,0.58,23399,440,60.11,1.13,1695.14,4.35,32.29,0.08
59,British Columbia,Colombie-Britannique,2023-12-16,50,2023,1,412814,61,7760.65,6476,27,121.74,1.15,0.51,480,27,9.02,0.51,8.71,0.16,3.86,0.07
48,Alberta,Alberta,2023-12-16,50,2023,1,646890,661,14238.92,6219,15,136.89,14.55,0.33,1430,39,31.48,0.86,94.43,2.08,2.14,0.05
47,Saskatchewan,Saskatchewan,2023-12-16,50,2023,1,161278,262,13498.29,2036,3,170.4,21.93,0.25,569,5,47.62,0.42,37.43,3.13,0.43,0.04
46,Manitoba,Manitoba,2023-12-16,50,2023,1,159940,212,11349.52,2571,,182.44,15.04,,420,,29.8,,30.29,2.15,,
